van,stops,osrm_trip_ok,osrm_trip_error,osrm_trip_distance_km,osrm_trip_duration_min,road_nn_km,road_2opt_km,road_rr_km,gap_nn_minus_trip_km,gap_2opt_minus_trip_km,gap_rr_minus_trip_km
0,54,True,,163.0241,251.43,167.4574,155.1068,153.3945,4.4333,-7.9173,-9.6296
1,40,True,,147.1235,209.28,173.3858,153.4591,142.2208,26.2623,6.3356,-4.9027
2,51,True,,219.1175,296.28,217.9448,211.6922,209.4199,-1.1727,-7.4253,-9.6976
3,7,True,,129.6001,114.72,132.7613,129.5998,129.5998,3.1612,-0.0003,-0.0003
4,22,True,,216.46,213.6,225.5129,216.1671,209.3205,9.0529,-0.2929,-7.1395
5,35,True,,122.5018,177.28,117.6477,109.9028,101.1432,-4.8541,-12.599,-21.3586
6,46,True,,158.2804,195.15,167.4733,159.0145,153.4501,9.1929,0.7341,-4.8303
7,16,True,,127.791,136.22,130.8273,126.0866,125.4941,3.0363,-1.7044,-2.2969
8,29,True,,144.0236,184.59,162.1656,144.82,143.2088,18.142,0.7964,-0.8148
